t,Probability_Density
3.780000,0.075536
3.790000,0.075159
3.800000,0.074784
3.810000,0.074411
3.820000,0.074040
3.830000,0.073671
3.840000,0.073303
3.850000,0.072938
3.860000,0.072574
3.870000,0.072212
3.880000,0.071852
3.890000,0.071494
3.900000,0.071137
3.910000,0.070782
3.920000,0.070429
3.930000,0.070078
3.940000,0.069728
3.950000,0.069381
3.960000,0.069035
3.970000,0.068690
3.980000,0.068348
3.990000,0.068007
4.000000,0.067668
4.010000,0.067330
4.020000,0.066994
4.030000,0.066660
4.040000,0.066328
4.050000,0.065997
4.060000,0.065668
4.070000,0.065340
4.080000,0.065014
4.090000,0.064690
4.100000,0.064367
4.110000,0.064046
4.120000,0.063727
4.130000,0.063409
4.140000,0.063093
4.150000,0.062778
4.160000,0.062465
4.170000,0.062154
4.180000,0.061844
4.190000,0.061535
4.200000,0.061228
4.210000,0.060923
4.220000,0.060619
4.230000,0.060317
4.240000,0.060016
4.250000,0.059716
4.260000,0.059419
4.270000,0.059122
4.280000,0.058827
4.290000,0.058534
4.300000,0.058242
4.310000,0.057952
4.320000,0.057663
4.330000,0.057375
4.340000,0.057089
4.350000,0.056804
4.360000,0.056521
4.370000,0.056239
4.380000,0.055958
4.390000,0.055679
4.400000,0.055402
4.410000,0.055125
4.420000,0.054850
4.430000,0.054577
4.440000,0.054305
4.450000,0.054034
4.460000,0.053764
4.470000,0.053496
4.480000,0.053229
4.490000,0.052964
4.500000,0.052700
4.510000,0.052437
4.520000,0.052175
4.530000,0.051915
4.540000,0.051656
4.550000,0.051398
4.560000,0.051142
4.570000,0.050887
4.580000,0.050633
4.590000,0.050381
4.600000,0.050129
4.610000,0.049879
4.620000,0.049631
4.630000,0.049383
4.640000,0.049137
4.650000,0.048892
4.660000,0.048648
4.670000,0.048405
4.680000,0.048164
4.690000,0.047924
4.700000,0.047685
4.710000,0.047447
4.720000,0.047210
4.730000,0.046975
4.740000,0.046740
4.750000,0.046507
4.760000,0.046275
4.770000,0.046044
4.780000,0.045815
4.790000,0.045586
4.800000,0.045359
4.810000,0.045133
4.820000,0.044908
4.830000,0.044684
4.840000,0.044461
4.850000,0.044239
4.860000,0.044018
4.870000,0.043799
4.880000,0.043580
4.890000,0.043363
4.900000,0.043147
4.910000,0.042932
4.920000,0.042717
4.930000,0.042504
4.940000,0.042292
4.950000,0.042081
4.960000,0.041872
4.970000,0.041663
4.980000,0.041455
4.990000,0.041248
5.000000,0.041042
5.010000,0.040838
5.020000,0.040634
5.030000,0.040431
5.040000,0.040230
5.050000,0.040029
5.060000,0.039830
5.070000,0.039631
5.080000,0.039433
5.090000,0.039237
5.100000,0.039041
5.110000,0.038846
5.120000,0.038652
5.130000,0.038460
5.140000,0.038268
5.150000,0.038077
5.160000,0.037887
5.170000,0.037698
5.180000,0.037510
5.190000,0.037323
5.200000,0.037137
5.210000,0.036952
5.220000,0.036767
5.230000,0.036584
5.240000,0.036401
5.250000,0.036220
5.260000,0.036039
5.270000,0.035859
5.280000,0.035681
5.290000,0.035503
5.300000,0.035326
5.310000,0.035149
5.320000,0.034974
5.330000,0.034800
5.340000,0.034626
5.350000,0.034453
5.360000,0.034282
5.370000,0.034111
5.380000,0.033940
5.390000,0.033771
5.400000,0.033603
5.410000,0.033435
5.420000,0.033268
5.430000,0.033102
5.440000,0.032937
5.450000,0.032773
5.460000,0.032610
5.470000,0.032447
5.480000,0.032285
5.490000,0.032124
5.500000,0.031964
5.510000,0.031805
5.520000,0.031646
5.530000,0.031488
5.540000,0.031331
5.550000,0.031175
5.560000,0.031019
5.570000,0.030865
5.580000,0.030711
5.590000,0.030557
5.600000,0.030405
5.610000,0.030253
5.620000,0.030102
5.630000,0.029952
5.640000,0.029803
5.650000,0.029654
5.660000,0.029506
5.670000,0.029359
5.680000,0.029213
5.690000,0.029067
5.700000,0.028922
5.710000,0.028778
5.720000,0.028634
5.730000,0.028492
5.740000,0.028349
5.750000,0.028208
5.760000,0.028067
5.770000,0.027927
5.780000,0.027788
5.790000,0.027650
5.800000,0.027512
5.810000,0.027374
5.820000,0.027238
5.830000,0.027102
5.840000,0.026967
5.850000,0.026832
5.860000,0.026699
5.870000,0.026565
5.880000,0.026433
5.890000,0.026301
5.900000,0.026170
5.910000,0.026039
5.920000,0.025909
5.930000,0.025780
5.940000,0.025652
5.950000,0.025524
5.960000,0.025396
5.970000,0.025270
5.980000,0.025144
5.990000,0.025018
6.000000,0.024894
6.010000,0.024769
6.020000,0.024646
6.030000,0.024523
6.040000,0.024401
6.050000,0.024279
6.060000,0.024158
6.070000,0.024037
6.080000,0.023917
6.090000,0.023798
6.100000,0.023679
6.110000,0.023561
6.120000,0.023444
6.130000,0.023327
6.140000,0.023211
6.150000,0.023095
6.160000,0.022980
6.170000,0.022865
6.180000,0.022751
6.190000,0.022638
6.200000,0.022525
6.210000,0.022412
6.220000,0.022300
6.230000,0.022189
6.240000,0.022079
6.250000,0.021968
6.260000,0.021859
6.270000,0.021750
6.280000,0.021641
6.290000,0.021533
6.300000,0.021426
6.310000,0.021319
6.320000,0.021213
6.330000,0.021107
6.340000,0.021002
6.350000,0.020897
6.360000,0.020793
6.370000,0.020689
6.380000,0.020586
6.390000,0.020483
6.400000,0.020381
6.410000,0.020279
6.420000,0.020178
6.430000,0.020078
6.440000,0.019978
6.450000,0.019878
6.460000,0.019779
6.470000,0.019680
6.480000,0.019582
6.490000,0.019484
6.500000,0.019387
6.510000,0.019290
6.520000,0.019194
6.530000,0.019098
6.540000,0.019003
6.550000,0.018908
6.560000,0.018814
6.570000,0.018720
6.580000,0.018627
6.590000,0.018534
6.600000,0.018442
6.610000,0.018350
6.620000,0.018258
6.630000,0.018167
6.640000,0.018076
6.650000,0.017986
6.660000,0.017897
6.670000,0.017807
6.680000,0.017718
6.690000,0.017630
6.700000,0.017542
6.710000,0.017455
6.720000,0.017368
6.730000,0.017281
6.740000,0.017195
6.750000,0.017109
6.760000,0.017024
6.770000,0.016939
6.780000,0.016854
6.790000,0.016770
6.800000,0.016687
6.810000,0.016603
6.820000,0.016521
6.830000,0.016438
6.840000,0.016356
6.850000,0.016275
6.860000,0.016193
6.870000,0.016113
6.880000,0.016032
6.890000,0.015952
6.900000,0.015873
6.910000,0.015794
6.920000,0.015715
6.930000,0.015636
6.940000,0.015559
6.950000,0.015481
6.960000,0.015404
6.970000,0.015327
6.980000,0.015250
6.990000,0.015174
7.000000,0.015099
7.010000,0.015023
7.020000,0.014948
7.030000,0.014874
7.040000,0.014800
7.050000,0.014726
7.060000,0.014652
7.070000,0.014579
7.080000,0.014507
7.090000,0.014434
7.100000,0.014362
7.110000,0.014291
7.120000,0.014219
7.130000,0.014148
7.140000,0.014078
7.150000,0.014008
7.160000,0.013938
7.170000,0.013868
7.180000,0.013799
7.190000,0.013730
7.200000,0.013662
7.210000,0.013594
7.220000,0.013526
7.230000,0.013458
7.240000,0.013391
7.250000,0.013325
7.260000,0.013258
7.270000,0.013192
7.280000,0.013126
7.290000,0.013061
7.300000,0.012996
7.310000,0.012931
7.320000,0.012866
7.330000,0.012802
7.340000,0.012738
7.350000,0.012675
7.360000,0.012611
7.370000,0.012549
7.380000,0.012486
7.390000,0.012424
7.400000,0.012362
7.410000,0.012300
7.420000,0.012239
7.430000,0.012178
7.440000,0.012117
7.450000,0.012057
7.460000,0.011996
7.470000,0.011937
7.480000,0.011877
7.490000,0.011818
7.500000,0.011759
7.510000,0.011700
7.520000,0.011642
7.530000,0.011584
7.540000,0.011526
7.550000,0.011468
7.560000,0.011411
7.570000,0.011354
7.580000,0.011298
7.590000,0.011241
7.600000,0.011185
7.610000,0.011130
7.620000,0.011074
7.630000,0.011019
7.640000,0.010964
7.650000,0.010909
7.660000,0.010855
7.670000,0.010801
7.680000,0.010747
7.690000,0.010693
7.700000,0.010640
7.710000,0.010587
7.720000,0.010534
7.730000,0.010481
7.740000,0.010429
7.750000,0.010377
7.760000,0.010325
7.770000,0.010274
7.780000,0.010223
7.790000,0.010172
7.800000,0.010121
7.810000,0.010070
7.820000,0.010020
7.830000,0.009970
7.840000,0.009920
7.850000,0.009871
7.860000,0.009822
7.870000,0.009773
7.880000,0.009724
7.890000,0.009675
7.900000,0.009627
7.910000,0.009579
7.920000,0.009531
7.930000,0.009484
7.940000,0.009437
7.950000,0.009389
7.960000,0.009343
7.970000,0.009296
7.980000,0.009250
7.990000,0.009204
8.000000,0.009158
8.010000,0.009112
8.020000,0.009066
8.030000,0.009021
8.040000,0.008976
8.050000,0.008931
8.060000,0.008887
8.070000,0.008843
8.080000,0.008799
8.090000,0.008755
8.100000,0.008711
8.110000,0.008667
8.120000,0.008624
8.130000,0.008581
8.140000,0.008538
8.150000,0.008496
8.160000,0.008453
8.170000,0.008411
8.180000,0.008369
8.190000,0.008328
8.200000,0.008286
8.210000,0.008245
8.220000,0.008204
8.230000,0.008163
8.240000,0.008122
8.250000,0.008081
8.260000,0.008041
8.270000,0.008001
8.280000,0.007961
8.290000,0.007921
8.300000,0.007882
8.310000,0.007842
8.320000,0.007803
8.330000,0.007764
8.340000,0.007726
8.350000,0.007687
8.360000,0.007649
8.370000,0.007611
8.380000,0.007573
8.390000,0.007535
8.400000,0.007497
8.410000,0.007460
8.420000,0.007423
8.430000,0.007386
8.440000,0.007349
8.450000,0.007312
8.460000,0.007276
8.470000,0.007239
8.480000,0.007203
8.490000,0.007167
8.500000,0.007131
8.510000,0.007096
8.520000,0.007060
8.530000,0.007025
8.540000,0.006990
8.550000,0.006955
8.560000,0.006921
8.570000,0.006886
8.580000,0.006852
8.590000,0.006818
8.600000,0.006783
8.610000,0.006750
8.620000,0.006716
8.630000,0.006682
8.640000,0.006649
8.650000,0.006616
8.660000,0.006583
8.670000,0.006550
8.680000,0.006517
8.690000,0.006485
8.700000,0.006452
8.710000,0.006420
8.720000,0.006388
8.730000,0.006356
8.740000,0.006325
8.750000,0.006293
8.760000,0.006262
8.770000,0.006230
8.780000,0.006199
8.790000,0.006168
8.800000,0.006137
8.810000,0.006107
8.820000,0.006076
8.830000,0.006046
8.840000,0.006016
8.850000,0.005986
8.860000,0.005956
8.870000,0.005926
8.880000,0.005896
8.890000,0.005867
8.900000,0.005838
8.910000,0.005809
8.920000,0.005780
8.930000,0.005751
8.940000,0.005722
8.950000,0.005693
8.960000,0.005665
8.970000,0.005637
8.980000,0.005608
8.990000,0.005580
9.000000,0.005553
9.010000,0.005525
9.020000,0.005497
9.030000,0.005470
9.040000,0.005442
9.050000,0.005415
9.060000,0.005388
9.070000,0.005361
9.080000,0.005334
9.090000,0.005308
9.100000,0.005281
9.110000,0.005255
9.120000,0.005228
9.130000,0.005202
9.140000,0.005176
9.150000,0.005150
9.160000,0.005125
9.170000,0.005099
9.180000,0.005074
9.190000,0.005048
9.200000,0.005023
9.210000,0.004998
9.220000,0.004973
9.230000,0.004948
9.240000,0.004923
9.250000,0.004898
9.260000,0.004874
9.270000,0.004850
9.280000,0.004825
9.290000,0.004801
9.300000,0.004777
9.310000,0.004753
9.320000,0.004729
9.330000,0.004706
9.340000,0.004682
9.350000,0.004659
9.360000,0.004635
9.370000,0.004612
9.380000,0.004589
9.390000,0.004566
9.400000,0.004543
9.410000,0.004520
9.420000,0.004498
9.430000,0.004475
9.440000,0.004453
9.450000,0.004430
9.460000,0.004408
9.470000,0.004386
9.480000,0.004364
9.490000,0.004342
9.500000,0.004320
9.510000,0.004298
9.520000,0.004277
9.530000,0.004255
9.540000,0.004234
9.550000,0.004213
9.560000,0.004192
9.570000,0.004170
9.580000,0.004149
9.590000,0.004129
9.600000,0.004108
9.610000,0.004087
9.620000,0.004067
9.630000,0.004046
9.640000,0.004026
9.650000,0.004005
9.660000,0.003985
9.670000,0.003965
9.680000,0.003945
9.690000,0.003925
9.700000,0.003906
9.710000,0.003886
9.720000,0.003866
9.730000,0.003847
9.740000,0.003827
9.750000,0.003808
9.760000,0.003789
9.770000,0.003770
9.780000,0.003751
9.790000,0.003732
9.800000,0.003713
9.810000,0.003694
9.820000,0.003675
9.830000,0.003657
9.840000,0.003638
9.850000,0.003620
9.860000,0.003601
9.870000,0.003583
9.880000,0.003565
9.890000,0.003547
9.900000,0.003529
9.910000,0.003511
9.920000,0.003493
9.930000,0.003475
9.940000,0.003458
9.950000,0.003440
9.960000,0.003422
9.970000,0.003405
9.980000,0.003388
9.990000,0.003370
10.000000,0.003353
